# Samsung SM-S928B (e3q) ZZHL vendor-DLKM KMI CRC compatibility baseline
# Firmware: S928BXXU6ZZHL; stock kernel: 6.1.162-android14-11-34343818-abS928BXXU6ZZHL
# Extracted from supplied vendor_dlkm.new.dat (SHA-256 65840e49d5980d21dcb0db4732e1acc10116fd2169e98e79927c7f5ded19f7b2).
# All 2469 retained DZH2 strict symbols have identical ZZHL CRCs; seven
# DZH2-only imports are absent. ZZHL has 1642 additional
# vendor-internal imports outside this kernel-facing strict set.
# ZZHL vendor_boot validation: 411 modules, 2139 strict baseline-overlap symbols.
# Scope: all retained kernel-facing ZZHL vendor-DLKM imports in the proven strict set.
# Device audit: 0 internal CRC conflicts across 351 vendor_dlkm modules.
# 1675 exact CRCs; 794 known Samsung/GKI CRC differences require the audited strict repair.
# symbol	device_crc	validated_build_crc	modules
__devm_regmap_init	0x78d75b61	0xb4a41aa4	lpass_cdc_dlkm;swr_dlkm;wcd_usbss_i2c
__devm_regmap_init_i2c	0x1bab1211	0xbec1a26c	input_cs40l26_i2c;nb7vpq904m;pca9481_charger;repeater_i2c_eusb2;snd_soc_cs35l43_i2c;snd_soc_cs35l45_i2c
__devm_regmap_init_mmio_clk	0x6820f16e	0x6820f16e	llcc_qcom
__devm_request_region	0xdd83e5af	0xdd83e5af	dmesg_dumper;gh_panic_notifier
__devm_reset_control_get	0xb86f1eec	0xb86f1eec	dwc3_msm;msm_eva;msm_video;pci_msm_drv;phy_msm_snps_eusb2;phy_msm_ssusb_qmp;sdhci_msm_sec
__devres_alloc_node	0xb77e7bf8	0xb77e7bf8	hwmon;lcd;reboot_mode;repeater
__drm_atomic_helper_connector_destroy_state	0x3866cd2b	0x3866cd2b	msm_drm
__drm_atomic_helper_connector_duplicate_state	0x54872645	0x54872645	msm_drm
__drm_atomic_helper_connector_reset	0x29764194	0x29764194	msm_drm
__drm_atomic_helper_crtc_destroy_state	0xab75bef4	0xab75bef4	msm_drm
__drm_atomic_helper_crtc_duplicate_state	0x64c68dc3	0x64c68dc3	msm_drm
__drm_atomic_helper_plane_duplicate_state	0x26fab918	0x26fab918	msm_drm
__drm_atomic_helper_private_obj_duplicate_state	0xa4f72029	0xa4f72029	drm_display_helper;msm_drm
__drm_atomic_state_free	0xb9cad492	0xb9cad492	msm_drm
__drm_crtc_commit_free	0xae277372	0xae277372	drm_display_helper
__drm_debug	0x69353664	0x69353664	drm_display_helper;msm_drm
__drm_dev_dbg	0x065ad6d0	0x065ad6d0	drm_display_helper;msm_drm
__drm_err	0xb11ac7a7	0xb11ac7a7	drm_display_helper;lt9611uxc;msm_drm
__drm_printfn_coredump	0xea00fe81	0xea00fe81	msm_drm
__drm_printfn_debug	0xf824c7db	0xf824c7db	drm_display_helper
__drm_puts_coredump	0x3b0e5e9c	0x3b0e5e9c	msm_drm
